doc_id,serial,petition_id,title,body,signature_count,signature_threshold,deadline,status,issues
10,71,4e7b4e1a11fb9c3e7a000010,"Light The White House Blue on Men's Health Night, November 21, to raise Prostate and Testicular cancer awareness.","Prostate and Testicular Cancer affects the lives of millions of Americans.  Whether by diagnosis, treatment costs, lost work and family hours and, even death, prostate and testicular cancer cause pain throughout our nation, every minute of every day.
Mr. President, please light the White House blue to honor the more than 340,000 American men who have died from prostate and testicular cancer in the past decade; for the more than 228,000 new cases that will be diagnosed this year; for African-American men who are 60 percent more likely to be diagnosed with prostate cancer and 2.4 times more likely to die from it and for the nearly 2.5 million American men and their families who are currently challenged by these cancers.",670,5000,30,Closed,"Economy & Jobs,Health Care,Veterans & Military"
11,76,4e7b5032ec309e6276000013,INVESTIGATION FOR FULL DISCLOSURE OF WHERE AND WHEN AGENT ORANGE HERBICIDES WERE USED OUTSIDE OF VIETNAM TO INCLUDE GUAM,"this petition is for a full investigation into all of the locations where agent orange herbicides were used and when they were used. Because of destroyed military records for routine base maintenance, any documentation was lost. Because of the importance of this issue affecting veterans and their families plus future generations of Americans, this petition should be given the highest priority within the Whitehouse staff. This petition can coincide with Senator Gillibrand's investigation into Agent Orange herbicide use and HR2634 VICTIMS OF AGENT ORANGE. ",743,5000,30,Closed,Veterans & Military
12,91,4e7b6695b25636dc79000011,"End the destructive, wasteful and counterproductive ""War on Drugs""","In order to resolve a wealth of inequities, we the people do entreat the white house to dismantle or redirect law enforcement agencies, and the approximately $400 BILLION dollars per year spent on the ""War on Drugs"".

The U.S. represents 5% of world population, but imprisons 25% of all the worlds inmates.  It is not the U.S. people who are excessively criminal.  It is overzealous policy that destroys the future of America's youth at great expense to the taxpayer.

Where would you be, Mr. President, had you been convicted and imprisoned because of your admitted Marijuana usage?  What great future leaders, thinkers and innovators are being destroyed today because of this useless policy?

Drug use is a social issue, and should be addressed by health care professionals, not the prison system.",30018,5000,30,Reviewed,"Budget & Taxes,Civil Rights & Equality,Criminal Justice Reform"
13,96,4e7b6832ec309e607600000c,"Help Families Avoid Foreclosure, Stabilize the Housing Market, and Boost the Economy: Adopt the Principal Paydown Plan","Experts agree that in order for the economy to recover, the housing market first must be stabilized by preventing avoidable foreclosures.  While there is no single solution to the foreclosure crisis, one promising approach is the Principal Paydown Plan, which would provide immediate relief for qualified homeowners in bankruptcy who find themselves underwater on their mortgages. By reducing the interest rate on mortgages to 0% for 5 years, monthly payments would be lowered and every dollar applied to the principal.  This Plan would provide help for many American families trying to stay in their homes, stabilize communities, and bolster the housing market and economy as a whole.  Developed by the National Association of Consumer Bankruptcy Attorneys, the plan is ready for immediate adoption.",3137,5000,30,Closed,"Budget & Taxes,Economy & Jobs"
14,106,4e7b70294bd5044b0c00000f,formally acknowledge an extraterrestrial presence engaging the human race - Disclosure.,"Disclosure Petition - Paradigm Research Group
""We, the undersigned, strongly urge the President of the United States to formally acknowledge an extraterrestrial presence engaging the human race and immediately release into the public domain all files from all agencies and military services relevant to this phenomenon.""
___
Hundreds of military and government agency witnesses have come forward with testimony confirming this extraterrestrial presence.   Opinion polls now indicate more than 50% of the American people believe there is an extraterrestrial presence and more than 80% believe the government is not telling the truth about this phenomenon.  The people have a right to know. The people can handle the truth.
Relevant Websites: www.disclosurepetition.info,  www.paradigmresearchgroup.org",12092,5000,30,Reviewed,"Foreign Policy,Government & Regulatory Reform,Technology & Innovation"
15,116,4e7b71fab256360b1800000c,Eliminate or Reform Departments whose Officers are Required by Law to Lie to the American People.,"In a time of astronomical deficits, departments that are required by law to LIE to the American public should be reformed or eliminated.

The director of the Office of National Drug Control Policy (ONDCP), aka ""The Drug Czar,"" is one such position.

See Title VII Office of National Drug Control Policy Reauthorization Act of 1998: H11225 (http://www.whitehouse.gov/ondcp/reauthorization-act).  In summary, this act requires the Drug Czar to effectively lie to preserve current drug policy, regardless of science or proof of medical efficacy of a Schedule I substance.

For detailed information and analysis, use your favorite search engine, or check out the following organizations and sites:

Drug WarRant
LEAP
DPA
NORML
http://www.drugwarrant.com/articles/drug-czar-required/

Sincerest Thanks.",1770,5000,30,Closed,"Criminal Justice Reform,Government & Regulatory Reform"
16,126,4e7b7bd5cf436ae672000018,PUBLICLY press Japan for the return of Abducted US Children and provide transparent dialogs with Japan on this issue,"Hundreds, if not thousands, of US Citizen Children have been abducted to, or retained in, the country of Japan.

Japan has never returned a single child, has no legal concept of ""joint-custody"", no enforcement of visitation, no requirement for rules of evidence on claims of DV.

The US Congress, in HR1326, has publicly condemned Japan and demanded the immediate return of this children.

However, the Executive Branch has only held back-room discussions.  Additionally, there are persuasive claims the DoS is significantly downplaying the number of actual cases.

There needs to be complete transparency into this process, and public condemnation of Japan.  These are our country's children.  We the people deserve to know if they are being traded for bases or other government goals.",1614,5000,30,Closed,"Civil Rights & Equality,Criminal Justice Reform,Foreign Policy"
17,131,4e7b817d4bd504e006000018,Allow Industrial Hemp to be Grown in the U.S. Once Again,"Lost opportunities for farmers and businesses have real consequences. With over $419 million in estimated U.S. retail sales, American companies making hemp products have no choice but to import their raw materials because American farmers continue to fear they will be prosecuted due to an outdated federal policy which confuses non-drug industrial hemp with drug varieties of Cannabis.

Sustainable hemp seed, fiber and oil are already used in nutritious food, textiles, body care and even auto-parts. Many American companies are using imported hemp in their products today.

We urge you to allow U.S. farmers to follow in the footsteps of George Washington, Thomas Jefferson and John Adams, all who were hemp farmers, and once again grow this sustainable and profitable non-drug crop.",28888,5000,30,Reviewed,"Energy & Environment,Economy & Jobs,Government & Regulatory Reform"
18,136,4e7b8c8bec309e5d76000023,"Restore humane horse slaughter to improve horse welfare, stop needless & wasteful suffering & create jobs.","The GAO report ""HORSE WELFARE: Action Needed to Address Unintended Consequences from Cessation of Domestic Slaughter"" documents the decline in horse welfare, & the economic demise of the horse industry due to inappropriate federal intervention that closed the humane & regulated horse slaughter plants in the U.S. As pointed out by the GAO, & as testified to by practically every horse industry & Ag organization in the Nation, appropriation riders & bills that seek to eliminate any possibility of humanely processing horses offer zero solutions & only exacerbate the suffering of horses, increase the number of needless & wasteful deaths, cause more abandonment, neglect, pain, & misery--they deprive families of livelihoods & the ability to raise their kids with the joy of horses in their lives.",5531,5000,30,Reviewed,"Energy & Environment,Economy & Jobs,Rural Policy"
19,141,4e7b8c8fec309e933200000c,Please Hold Ethiopia Accountable for Using America's Aid Money as a Weapon of War and Stop the Genocide in the Ogaden.,"""We understand that the United States has a valuable strategic relationship with the government of Ethiopia. However, we believe it is of fundamental importance to ensure that in our relationships with all government on the African continent and around the world, the United States demonstrate a steadfast commitment to human rights, good governance, and justice. We urge you to intensify pressure on the Ethiopian government to respect fundamental human rights norms even as it purses critical security objectives. We expect that you will keep us appraised of new information regarding the Ethiopian military's operations and conduct in the Ogaden and how the United States is responding."" -Vice President Joe Biden along with other Senators.

""Ethiopia is using Aid as a Weapon of Oppression.""-BBC",1934,5000,30,Closed,"Budget & Taxes,Civil Rights & Equality,Economy & Jobs"
20,146,4e7b8ca62ee8d03b39000006,Immediately disclose the government's knowledge of and communications with extraterrestrial beings,"This Petition calls for the President to disclose to the American people the long withheld knowledge of government interactions with extraterrestrial beings and call for open Congressional hearings to allow the people to become aware of this subject through those whose voices have been silenced by unconstitutional secrecy oaths.

",5390,5000,30,Reviewed,
21,151,4e7b8e4111fb9ca257000001,Reform the coinage system.,"We believe that it would be in our economy's best interest to form a new coinage standard. This standard would consist of three coins. a ten-cent coin, a fifty-cent coin, and a one dollar coin. This standard would open up new efficiencies in both everyday economic life, and in government spending.

According to the US Mint, in 2010 a single one-cent coin cost 1.79 cents to produce and distribute. Minting 3,487 million pennies in 2010 cost the US taxpayer $27.5 million in order to subsidize the existence of the penny.

There is a similar situation with nickels. A single five-cent coin cost 9.16 cents to produce and distribute in 2010.

We waste valuable time handling coins that aren't worth much. Getting rid of these coins could save us up to $1 billion annually in lost opportunity costs.",6149,5000,30,Reviewed,
22,156,4e7b94f111fb9ca85700000a,Authorize and issue a Cold War Service Medal for all who served in the military during the Cold War.,"We feel a Cold War Service Medal should be issued to all who served in the military during the Cold War.

The American Cold War Veterans have long fought for recognition, respect; and equal treatment for all veterans. We have had past support in Congress, but have yet to see it come to fruition.

Many lives were lost during this struggle to contain Communism and keep the world free, on missions that still remain secret.

Brave and dedicated men and women who served with honor and distinction, have yet to be recognized.

Let our country now say Thank You Veterans. 2011 is the 20th anniversary of the end of the Cold War, it is time to issue a Cold War Medal.

President Obama, at least twice, said that a Cold War Victory Medal  should be issued. Please use an Executive Order if necessary.",878,5000,30,Closed,"Homeland Security & Defense,Veterans & Military"
23,161,4e7b95e24bd504ee5f000004,Repeal the Defense of Marriage Act.,"The Defense of Marriage Act bypasses the Constitution in making it so states do not need to recognize other state's marriages if those marriages are not between a man and a woman. This results in confusing legal issues when a gay couple moves from one state to another, as well as creating a definition of marriage that is bigoted against homosexual couples.",14196,5000,30,Reviewed,
24,166,4e7b96024bd504e25f000001,"protect consumers, create jobs and generate revenue by licensing and regulating online poker.","Appropriate regulation of online poker will put the U.S. in charge of safeguarding responsible adult players, prevent underage participation and protect those with excessive gaming habits. The current, unregulated U.S. marketplace does not guarantee a single consumer protection.

U.S. regulation of this global industry will also mean the creation of American jobs and billions in new revenue without raising taxes.  Licensed U.S.-based horse race wagering sites have proven that online betting sites can be successfully regulated. It is time to allow online poker the same opportunity.
",9849,5000,30,Reviewed,
25,171,4e7b99054bd504ee5f000009,"Edit the Pledge of Allegiance to remove the phrase ""Under God"".","The Pledge of Allegiance is said every day in schools across America. It is a government sanctioned speech, and should remain neutral in matters of religion. In its current state, it supports the existence of God, which goes against several religions, and supports others. This bias should not be supported by the country according to the Establishment Clause of the First Amendment to the United States Constitution. ",20447,5000,30,Reviewed,
26,186,4e7ba04c8d8c37f764000004,"Support H.R. 822, the National Right-to-Carry Reciprocity Act of 2011.","To amend title 18, United States Code, to provide a national standard in
accordance with which nonresidents of a State may carry concealed firearms in  the other states
The overwhelming majority of individuals who exercise the right to carry firearms in their own States and other States have proven to be law-abiding, and such carrying has been demonstrated to provide crime prevention or crime resistance benefits for the licensees and for others.The Congress finds that preventing the lawful carrying of firearms by individuals who are traveling outside their home State interferes with the constitutional right of interstate travel, and harms interstate commerce.Among the purposes of this Act is the protection of the rights, privileges, and immunities guaranteed to a citizen of the U.S.A.",3475,5000,30,Closed,"Civil Rights & Equality,Gun Violence,Homeland Security & Defense"
27,191,4e7ba3744bd504e25f00001d,review the cases of a select few warriors and give them clemency immediately! Change our ROE!,"We, the American people, want justice and fairness for our military who put their lives on the line for our freedom and for the safety of our Nation. Cases that need to be further reviewed and men who deserve their freedom for doing their jobs are:

Corey Clagett
Michael Behenna
Michael Leahy
Evan Vela-Carnahan
David Lawrence
Derrick Miller
John Hatley
William Hunsaker
Joseph Mayo
Michael Williams
Jesse Spielman
Frank Wuterich
Lawrence Hutchins
**Cases currently ongoing** Michael Wagnon, Andrew Holmes, Adam Winfield, Calvin Gibbs. Political correctiness does not belong on the battlefield and our Rules of Engagement (ROE) are forcing our men and women to fight in a war with their hands tied behind their backs. Let them fight or bring them home! Change our ROE and release our warriors! ",353,5000,30,Closed,"Civil Rights & Equality,Criminal Justice Reform,Veterans & Military"
28,201,4e7ba91fcf436a0971000001,Support for the development of the biofuel called butanol which can be used as a direct replacement for gasoline.,"Butanol biofuel can be made from cellulosic agricultural waste products such as corn stalks and cobs, wheat stems, wood chips, and waste paper that don't compete with food products, and don't displace land used for cultivation of food products.  Approximately 1.3 billion tons of such cellulosic materials, which could be used to produce butanol, are thrown out each year in the US.  bio-butanol can be used as a direct substitute for unleaded gasoline in US cars, and carbon dioxide and smog emissions are dramatically lower than those produced by burning gasoline or gasoline blended with ethanol.  Ethanol as a biofuel is less desirable because its energy content is 25% less than unleaded gasoline, and it is corrosive to engines because it absorbs water.  Butanol is a gasoline substitute.",1089,5000,30,Closed,"Economy & Jobs,Energy & Environment"
29,206,4e7bb92aec309e7508000000,allow the states to set their own minimum drinking ages.,"The National Minimum Drinking Age Act of 1984 made it so that a state with a minimum drinking age below 21 would be subjected to a ten percent decrease in its annual federal highway apportionment, effectively setting the national drinking age to 21 years old.

Upon turning 18, United States citizens gain the ability to enter contracts, marry, vote, gamble, and even join the military, but are unable to legally purchase alcohol. Setting the drinking age to 21 does not prevented 18-20 year olds from drinking, but rather drives their alcohol use underground, making it more dangerous.

Please repeal The National Minimum Drinking Age Act of 1984, and allow the states to decide on their own drinking ages.",918,5000,30,Closed,"Civil Rights & Equality,Criminal Justice Reform,Government & Regulatory Reform"
30,216,4e7bbdb52ee8d04e08000004,"Remove ""In God We Trust"" from currency.","The currency of the United States currently contains the phrase ""In God We Trust"" on it. This was added in the 1950's, and is unconstitutional. It supports one religion over another, and should be removed from all currency. It violates the Establishment Clause of the First Amendment to the United States Constitution. This phrase should be removed from created currency.",12288,5000,30,Reviewed,
31,221,4e7bbf6911fb9c9c0c00000b,Restore democracy by ending corporate personhood.,"Citizens United dramatically altered the political dynamic of our country. Never before have corporations had so much sway over our country's politics, and as a result our nation looks less and less like a democracy every day. By calling corporations ""people"" and deeming money to be ""free speech,"" we are allowing the richest Americans to influence politics in a way that the vast majority of us can never dream of. By ending corporate personhood we can restore our country's democratic vision and create an America that answers to people rather than to money.

Stop the top 1% of Americans from drowning out the voices of the 99%. End corporate personhood and stop giving an unfair advantage to the wealthy few before it's too late.",26133,5000,30,Reviewed,
32,226,4e7bc394b256366a14000001,Legal Employment-based Immigration Petitioners Help U.S. Companies and Should NOT be Heavily Backlogged for Years,"Legal employment-based immigration petitioners are defined as not being competing with American citizens for job opportunities by a very strict USCIS process including the prevailing wage test, the 2-month recruiting test, etc.

They fill in positions that either American citizens choose not to fill or there're not sufficient American citizens to fill up these positions.

Without EB immigrants, these jobs could have been permanently outsourced overseas, together with those closely-related jobs.

It's a paradox that they de facto make many jobs stay inside U.S.  Moreover, they possess the experience and skills that help U.S. companies to be globally competitive.

They should NOT be heavily backlogged for abiding by U.S. laws, while sympathy is given only to undocumented immigrants.",6012,5000,30,Reviewed,Immigration
33,231,4e7bd8264bd5040a0f000030,Repeal the Patient Protection and Affordable Care Act and pass a law that can really improve care and reduce the deficit,"This is a petition to repeal the Patient Protection and Affordable Care Act, and prompt congress to pass (and the President to sign) a truly bipartisan health care reform law that can actually achieve the goals of improved healthcare, lower cost, and reduced deficits.",1556,5000,30,Closed,Health Care
34,236,4e7bd9eacf436a9806000042,"Abolish the TSA, and use its monstrous budget to fund more sophisticated, less intrusive counter-terrorism intelligence.","The Transportation Security Administration has been one of the largest, most expensive and most visible blunders of the post-9-11 homeland security reformation. It has violated countless constitutional rights of average Americans, caused miserable and expensive delays in an already-overburdened air travel system, and allowed multiple known instances of harassment, theft, extortion and sexual abuse by its employees. It has failed approximately 70% of undercover efficacy tests, and for all its excesses, has been unable to catch even a single terrorist since its creation. In our current economic situation, we can no longer afford to continue wasting taxpayer dollars on this kafkaesque embarrassment. Let us instead invest in saner, more effective solutions.",32824,5000,30,Reviewed,
35,241,4e7bf4222ee8d00d40000016,Allow Seriously Backlogged EB2/EB3 Beneficiaries with Their I-140 Approved to File I-485 and Apply for EAD & AP,"Employment-based (EB) immigration visa quotas are distributed by countries regardless of the size of each country. As a result, EB2/EB3 Chinese and Indian petitioners are woefully backlogged.

They spend their best years using their experience & skills to help U.S. companies become more competitive globally. Without them, many jobs plus related jobs could have been permanently outsourced overseas.

With I-140 approved, had they been born in another country, they'd receive the greencard in a few months.
Even a visa is not immediately available, they should still be eligible to apply for EAD & Advance Parole (AP), and to file I-485.

No law prohibits USCIS from accepting I-485 petition by a beneficiary with I-140 approved, though the petition will be pending until a visa number is available.",8560,5000,30,Reviewed,Immigration
36,246,4e7bf7118d8c37414000001d,End the Patriot Act,"Repeal the detrimental law known as the ""Patriot Act"" immediately.  It does not protect us, and it infringes upon our civil rights.  If we exchange our freedoms for safety, are we really beating the terrorists?",10254,5000,30,Reviewed,
37,251,4e7bfdb6b25636d625000042,Remove tax exemption from churches and allow them to apply like a non-profit organization,"Currently, churches usually receive tax exemptions based of off their specific religion and sect. If a specific sect is not already recognized, they are able to apply to become a recognized religion. This process gives the government the authority to determine which religions should and should not be recognized as 'true' religions in our country, a clear violation of the first amendment.",12643,5000,30,Reviewed,
38,256,4e7c05d48d8c37ff59000009,"Demand an Amendment to the U.S. Constitution to End Marijuana, Marihuana, Cannabis and Hemp Prohibition.","We the People of the United States of America
Demand an Amendment to the United States Constitution to End Prohibition of Marijuana, Marihuana, Hemp and Cannabis because we have a Right to Equal Protection Under the Law to NOT be prosecuted and punished for for growing, harvesting, farming, using, smoking, selling, manufacturing, brewing and bottling substances and products which are equally as dangerous or LESS dangerous than other legal products and substances such as alcoholic beverages and tobacco products, as used and sold to adults age 21 and over.  The government has entrapped Americans by concealing criminal penalties under Title 21 USC rather than listing them under Title 18 Crimes.  Also, the government spells marijuana and marihuana two ways in the law to conceal penalties.",6243,5000,30,Reviewed,Health Care
39,261,4e7c0ab811fb9cf050000038,Recognize the men and women who are occupying wall street,"Mr.Obama, this is a petition for you to publicly recognize, whether in a live speech, or in one of your weekly youtube addresses, the #occupywallstreet movement that is currently taking place in NYC.

These men and women are trying to send a message to their fellow Americans and to the world- the big banks and the super-rich, who is ""buying out congress"", are the primary drivers of the ongoing recession.

Unfortunately, they are largely being ignored by the media in the United States due to the ""small size"" of the protests. Note that ""small size"" has not deterred Fox, CNN and other US news channels/newspapers from covering, and even putting on the front page, Tea Party and other far right protests, some of which have had as little as 100 people (#occupywallst varies from 500-3000)",12635,5000,30,Reviewed,
40,266,4e7c1ca911fb9cce4100005d,Direct the Patent Office to Cease Issuing Software Patents,"The patent office's original interpretation of software as language and therefor patentable is much closer to reality and more productive for innovation than it's current practice of issuing software patents with no understanding of the patents being issued.

Under the patent office's current activity, patents have been come a way to stifle innovation and prevent competition rather than supporting innovation and competitive markets.  They've become a tool of antitrust employed by large companies against small ones.

To return sanity to the software industry - one of the few industries still going strong in America - direct the patent office to cease issuing software patents and to void all previously issued software patents.",14949,5000,30,Reviewed,
41,271,4e7c8d4b11fb9c9a7b000006,"INTERVENE TO CONSIDER  22,000 WOULD-BE IMMIGRANT WHO WERE NOTIFIED BY DOS THAT THEY'VE WON 2012 DV LOTTERY IN MAY","THE DEPARTMENT OF STATE CONSULAR AFFAIRS MISTAKENLY NOTIFIED ABOUT 22,000 ENTRANTS OF THE 2012 DIVERSITY IMMIGRATION PROGRAM THAT THEY HAVE WON THE USA DV LOTTERY IN 1ST MAY, 2012 WHICH WAS LATER VOIDED BY DOS ON 13TH MAY, 2012.
THE WINNING NOTIFICATION WAS VOIDED AFTER THE DOS DETECTED  SOFTWARE GLITCH BUT WE ALL KNOW  HOW DIFFICULT IT IS TO BE SELECTED AS A WINNER IN THE DIVERSITY IMMIGRATION PROGRAM OUT OF ABOUT 19 MILLION ENTRANTS WORLDWIDE AND  THE KIND OF  EXCITEMENT YOU EXPERIENCE AS A WINNER.

 THE VOIDING OF THE RESULTS HAS REALLY AFFECTED SOME OF US WHO WERE MISTAKENLY NOTIFIED  BY THE DEPARTMENT OF STATE SINCE WE THOUGHT OUR DREAMS OF MAKING IT TO USA AS IMMIGRANT WAS COMING TO PASS, I AM APPEALING TO MR PRESIDENT TO COME TO OUR AID TO RESTORE THE HOPES OF THE WOULD BE IMMIGRANT",379,5000,30,Closed,Immigration
42,276,4e7c8dd08d8c37b77c00005a,Reallocate Defense funds to NASA.,"Billions and Billions of dollars are thrown at the Military while NASA's budget continues to shrink causing them to cut programs which may actually benefit society unlike the wars we are currently involved in. America needs to wind down these wars and reallocate all that money into our space program and make it the inspiration that it was when Americans first landed on the Moon over 40 years ago. America and Humanity require a permanent presence in Space and no amount of telescopes or rovers are going to meet that requirement. Manned Missions are the only answer but NASA does not the have funds to make this vision a reality. Our President needs to see that investment in space is an investment in Americans, Jobs and the Future of Humanity. ",11408,5000,30,Reviewed,
43,281,4e7c932c4bd504067e00006e,"Forgive Student Loan Debt to Stimulate the Economy and Usher in a New Era of Innovation, Entrepreneurship and Prosperity","Forgiving student loan debt would provide an immediate jolt to the economy by putting hundreds and, in some cases, thousands of extra dollars into the hands of people who WILL spend it - not just once, but each and every month thereafter - freeing them up to invest, buy homes, start businesses and families. This past year, total student loan debt finally surpassed total credit card debt in America, and is on track to exceed $1 TRILLION within the next year. Student loans themselves are responsible for tuition rates that have soared by 439% since 1982 and for saddling entire generations of educated Americans with intractable levels of student loan debt from which there is, seemingly, no escape. Relieve them of this burden and the middle class WILL rebuild this economy from the bottom-up!",32866,5000,30,Reviewed,Education
